0
"[-8298.68, '[Layer, Top, Bot, Permeability, Water Saturation Irreducible, Saturation, NetPay, Gross, Porosity, Well]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Gross', 'NetPay'), ('Well', 'Top')]""]"
"[-11995.1, '[Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Gross')]""]"
"[-12042.27, '[Top, Bot, Saturation, Porosity, Layer, Permeability, Water Saturation Irreducible, NetPay, Well, Gross]', ""[('Top', 'Bot'), ('Saturation', 'Layer'), ('Layer', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8077.01, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Permeability')]""]"
"[-7884.91, '[Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Permeability')]""]"
"[-8310.33, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
"[-9149.84, '[Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay, Layer, Well]', ""[('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Well')]""]"
"[-8298.68, '[Well, Layer, Top, NetPay, Porosity, Permeability, Bot, Saturation, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Permeability', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-9055.42, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-8026.18, '[Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Layer, Gross]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Layer', 'Porosity')]""]"
