0
"[-7852.74, '[Well, Top, Bot, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross, Saturation, Layer]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Permeability', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer')]""]"
"[-8123.39, '[Well, Layer, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Gross, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Gross', 'NetPay')]""]"
"[-7953.33, '[Well, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay, Top, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Top', 'Bot'), ('Layer', 'Porosity')]""]"
"[-8077.01, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Well', 'Permeability')]""]"
"[-7301.41, '[Well, Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity, Saturation]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8880.97, '[Top, Gross, NetPay, Permeability, Water Saturation Irreducible, Layer, Bot, Well, Porosity, Saturation]', ""[('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Well', 'Top'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7347.79, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-8549.92, '[Well, Bot, Saturation, Porosity, NetPay, Top, Gross, Layer, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Layer', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-10111.49, '[Bot, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer, Top, Gross, Well, Saturation]', ""[('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Well'), ('Well', 'Top'), ('Saturation', 'Well')]""]"
"[-9085.93, '[Layer, Top, Saturation, NetPay, Water Saturation Irreducible, Porosity, Gross, Well, Bot, Permeability]', ""[('Layer', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross')]""]"
