0
"[-7221.58, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'Bot'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Top', 'Bot')]""]"
"[-6990.4, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-7061.9, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Layer', 'Top'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-7226.58, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Permeability'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Layer', 'Bot'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay')]""]"
"[-7206.99, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Layer', 'Top'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-6781.02, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Well', 'Permeability'), ('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Top', 'Gross'), ('Top', 'NetPay')]""]"
"[-7220.39, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Bot'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7115.79, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-7198.39, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Layer', 'Well'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Well', 'Permeability')]""]"
"[-7171.63, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Layer', 'Well'), ('Layer', 'Bot'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Layer', 'Gross'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
"[-7214.41, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Top'), ('Layer', 'Bot'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible')]""]"
