0
"[-98209.7, '[Tectonic regime, Period, Lithology, Structural setting, Netpay, Porosity, Depth, Permeability, Gross]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Structural setting', 'Gross'), ('Netpay', 'Porosity'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Depth'), ('Gross', 'Netpay')]""]"
"[-99697.31, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Permeability, Porosity, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Permeability', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Permeability')]""]"
"[-369447.8, '[Permeability, Lithology, Tectonic regime, Porosity, Period, Structural setting, Netpay, Gross, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Structural setting'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Gross'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Netpay', 'Permeability'), ('Gross', 'Netpay'), ('Gross', 'Depth'), ('Depth', 'Netpay')]""]"
"[-1789827.5, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Depth, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Depth', 'Netpay'), ('Depth', 'Gross'), ('Depth', 'Permeability'), ('Permeability', 'Netpay')]""]"
"[-385026.66, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Permeability', 'Depth'), ('Depth', 'Netpay')]""]"
"[-111220.84, '[Permeability, Lithology, Structural setting, Tectonic regime, Period, Porosity, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Lithology', 'Depth'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Depth', 'Netpay')]""]"
"[-108128.06, '[Permeability, Lithology, Period, Structural setting, Tectonic regime, Porosity, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Depth'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Depth'), ('Depth', 'Permeability')]""]"
"[-154531.97, '[Permeability, Lithology, Tectonic regime, Structural setting, Porosity, Period, Netpay, Gross, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Porosity'), ('Lithology', 'Period'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Permeability'), ('Netpay', 'Porosity'), ('Netpay', 'Depth'), ('Gross', 'Netpay'), ('Depth', 'Permeability')]""]"
"[-401772.61, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Depth, Porosity, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Depth', 'Gross'), ('Depth', 'Permeability'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Permeability', 'Netpay')]""]"
"[-1772680.49, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Gross'), ('Depth', 'Permeability')]""]"
