0
"[-8446.51, '[Permeability, Lithology, Tectonic regime, Structural setting, Period, Porosity, Netpay, Gross, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Porosity'), ('Lithology', 'Gross'), ('Tectonic regime', 'Lithology'), ('Tectonic regime', 'Structural setting'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Netpay', 'Permeability'), ('Gross', 'Netpay'), ('Depth', 'Netpay'), ('Depth', 'Gross')]""]"
"[-8608.36, '[Permeability, Lithology, Structural setting, Tectonic regime, Period, Porosity, Gross, Netpay, Depth]', ""[('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Structural setting', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Depth'), ('Gross', 'Porosity'), ('Gross', 'Netpay'), ('Netpay', 'Permeability'), ('Netpay', 'Depth'), ('Depth', 'Permeability')]""]"
"[-8521.5, '[Permeability, Lithology, Porosity, Period, Structural setting, Tectonic regime, Gross, Depth, Netpay]', ""[('Lithology', 'Permeability'), ('Lithology', 'Structural setting'), ('Lithology', 'Tectonic regime'), ('Lithology', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Netpay'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Gross', 'Permeability'), ('Gross', 'Depth'), ('Gross', 'Netpay'), ('Depth', 'Permeability'), ('Depth', 'Netpay'), ('Netpay', 'Permeability')]""]"
"[-7985.49, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Depth', 'Gross'), ('Depth', 'Permeability')]""]"
"[-8632.44, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Permeability, Depth]', ""[('Gross', 'Netpay'), ('Gross', 'Permeability'), ('Gross', 'Depth'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Tectonic regime', 'Lithology'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Structural setting'), ('Lithology', 'Permeability'), ('Lithology', 'Depth'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Netpay'), ('Permeability', 'Depth'), ('Depth', 'Netpay')]""]"
"[-8013.43, '[Depth, Structural setting, Tectonic regime, Porosity, Period, Lithology, Permeability, Netpay, Gross]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Lithology', 'Depth'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Lithology', 'Gross'), ('Permeability', 'Depth'), ('Permeability', 'Netpay'), ('Permeability', 'Gross'), ('Netpay', 'Depth'), ('Gross', 'Netpay')]""]"
"[-8085.22, '[Depth, Structural setting, Tectonic regime, Porosity, Period, Netpay, Gross, Lithology, Period, Structural setting, Tectonic regime, Permeability]', ""[('Structural setting', 'Depth'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Tectonic regime', 'Structural setting'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Period', 'Porosity'), ('Period', 'Gross'), ('Netpay', 'Porosity'), ('Netpay', 'Permeability'), ('Gross', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability'), ('Period', 'Lithology'), ('Structural setting', 'Period'), ('Tectonic regime', 'Structural setting'), ('Permeability', 'Depth')]""]"
"[-8166.85, '[Tectonic regime, Period, Structural setting, Gross, Netpay, Porosity, Permeability, Depth, Lithology]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Period', 'Lithology'), ('Structural setting', 'Period'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Structural setting', 'Lithology'), ('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Netpay', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Depth', 'Netpay'), ('Lithology', 'Gross'), ('Lithology', 'Permeability')]""]"
"[-8690.22, '[Tectonic regime, Period, Lithology, Structural setting, Gross, Netpay, Porosity, Permeability, Depth]', ""[('Tectonic regime', 'Structural setting'), ('Period', 'Lithology'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Lithology', 'Gross'), ('Lithology', 'Porosity'), ('Lithology', 'Permeability'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Gross'), ('Structural setting', 'Depth'), ('Gross', 'Netpay'), ('Gross', 'Porosity'), ('Netpay', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Permeability'), ('Porosity', 'Depth'), ('Permeability', 'Depth')]""]"
"[-8747.14, '[Netpay, Gross, Period, Structural setting, Tectonic regime, Lithology, Porosity, Depth, Permeability]', ""[('Gross', 'Netpay'), ('Gross', 'Depth'), ('Gross', 'Permeability'), ('Period', 'Gross'), ('Period', 'Porosity'), ('Structural setting', 'Gross'), ('Structural setting', 'Period'), ('Structural setting', 'Lithology'), ('Structural setting', 'Depth'), ('Tectonic regime', 'Structural setting'), ('Lithology', 'Gross'), ('Lithology', 'Period'), ('Lithology', 'Permeability'), ('Porosity', 'Netpay'), ('Porosity', 'Gross'), ('Porosity', 'Depth'), ('Porosity', 'Permeability'), ('Depth', 'Netpay'), ('Depth', 'Permeability'), ('Permeability', 'Netpay')]""]"
