0
"[-8132.81, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Well', 'Top'), ('Layer', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Porosity'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-8097.14, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer]', ""[('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8199.09, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Gross]', ""[('Well', 'Saturation'), ('Top', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top')]""]"
"[-8256.22, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8064.19, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-8025.76, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot'), ('Porosity', 'NetPay')]""]"
"[-8072.91, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top')]""]"
"[-8166.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7733.02, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Bot'), ('Well', 'NetPay'), ('Well', 'Permeability')]""]"
"[-7388.18, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay]', ""[('Well', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
