0
"[-7933.13, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay')]""]"
"[-8142.19, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8230.94, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8068.1, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity')]""]"
"[-8063.59, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Layer', 'Top'), ('Layer', 'Gross'), ('Layer', 'Saturation')]""]"
"[-8044.77, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-8172.98, '[Well, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross, Layer]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Permeability'), ('Gross', 'Top'), ('Layer', 'Top')]""]"
"[-8063.36, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Permeability')]""]"
"[-7948.81, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability]', ""[('Top', 'Bot'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-7990.59, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'NetPay')]""]"
