0
"[-7190.77, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7971.03, '[Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Layer, Well, NetPay]', ""[('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-7494.02, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Gross')]""]"
"[-7937.75, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-7176.38, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay')]""]"
"[-8068.2, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7279.51, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Well', 'Gross'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-6387.08, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-6962.46, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-7902.34, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Top'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Well'), ('Saturation', 'NetPay')]""]"
