0
"[-8070.78, '[Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Bot]', ""[('Top', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Well', 'Gross'), ('NetPay', 'Permeability'), ('Bot', 'NetPay')]""]"
"[-7802.85, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7956.64, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-7985.27, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8176.78, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-7499.51, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot')]""]"
"[-7717.56, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer]', ""[('Well', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Layer', 'Bot')]""]"
"[-8083.92, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top')]""]"
"[-8091.38, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7731.33, '[Well, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot, Layer]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
