0
"[-7999.49, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
"[-7916.13, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity')]""]"
"[-7712.17, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Layer', 'Saturation'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7977.01, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-7254.37, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Saturation]', ""[('Well', 'Bot'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Bot'), ('Saturation', 'Well')]""]"
"[-7979.53, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8029.9, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-8102.18, '[Well, Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Saturation, Gross, Porosity]', ""[('Layer', 'Permeability'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross')]""]"
"[-8207.39, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay')]""]"
"[-7898.05, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
