0
"[-8225.06, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Porosity')]""]"
"[-7311.5, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Permeability'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Bot')]""]"
"[-7338.88, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Porosity'), ('Top', 'Bot'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8121.41, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8032.41, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Gross]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Bot')]""]"
"[-7985.01, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot]', ""[('Well', 'Porosity'), ('Well', 'Bot'), ('Top', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('Saturation', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-7413.79, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8068.07, '[Top, Bot, Gross, Saturation, NetPay, Permeability, Well, Porosity, Layer, Water Saturation Irreducible]', ""[('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7495.57, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Saturation', 'Bot'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Gross')]""]"
"[-8138.52, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Permeability'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay')]""]"
