0
"[-7269.61, '[Well, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, Layer, NetPay]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7771.38, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer]', ""[('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Porosity')]""]"
"[-8090.94, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Bot'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'NetPay')]""]"
"[-7426.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7455.42, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8058.82, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'NetPay'), ('Layer', 'Porosity')]""]"
"[-6978.49, '[Layer, Top, Bot, Gross, Permeability, Water Saturation Irreducible, Well, Saturation, Porosity, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'Bot')]""]"
"[-8112.43, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7759.32, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Top', 'Bot'), ('Top', 'Permeability')]""]"
"[-7508.89, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Well, Water Saturation Irreducible]', ""[('Layer', 'Gross'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Well', 'Permeability')]""]"
