0
"[-6362.71, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-7785.68, '[Well, Layer, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Gross, Porosity]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity')]""]"
"[-8163.35, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Gross'), ('Well', 'Gross'), ('Well', 'Saturation')]""]"
"[-8070.07, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
"[-8145.17, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top'), ('Well', 'Saturation')]""]"
"[-8065.51, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('NetPay', 'Porosity')]""]"
"[-8012.64, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8052.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7971.99, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'NetPay')]""]"
"[-8171.09, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Gross')]""]"
