0
"[-7809.42, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Top, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7577.6, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8055.46, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-7944.24, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Permeability')]""]"
"[-8076.74, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Layer', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-8126.96, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7869.32, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
"[-7562.67, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Bot'), ('Well', 'Gross')]""]"
"[-7004.93, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Well', 'Porosity')]""]"
"[-7963.08, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Top'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Porosity')]""]"
