0
"[-7990.2, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8025.23, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Top', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7378.0, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Bot'), ('Top', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Well', 'Porosity')]""]"
"[-7913.37, '[Well, Layer, Top, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Bot, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Bot', 'Gross')]""]"
"[-8044.32, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Porosity')]""]"
"[-8018.52, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7089.22, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Bot')]""]"
"[-8026.04, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Top]', ""[('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Bot'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7746.88, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Porosity')]""]"
"[-8139.57, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity')]""]"
