0
"[-8044.05, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer]', ""[('Well', 'Gross'), ('Bot', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7344.81, '[Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well, Top]', ""[('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Well', 'Permeability'), ('Well', 'Top')]""]"
"[-8025.5, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay')]""]"
"[-6852.49, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Bot'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-7670.96, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'NetPay')]""]"
"[-7833.53, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8142.37, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity')]""]"
"[-8042.66, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Saturation', 'Layer'), ('Bot', 'Gross')]""]"
"[-7575.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7948.23, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
