0
"[-8006.76, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Porosity'), ('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8075.64, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Saturation', 'Permeability')]""]"
"[-8098.33, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Bot', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Gross', 'Permeability')]""]"
"[-8168.3, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7109.2, '[Well, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Layer, Bot, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Permeability', 'Porosity'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-7552.0, '[Well, Layer, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top, Bot, Saturation]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Gross'), ('Top', 'Bot'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7438.35, '[Well, Layer, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Gross, Bot]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Bot', 'Gross')]""]"
"[-7623.31, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Porosity'), ('Gross', 'NetPay')]""]"
"[-8031.21, '[Well, Gross, Porosity, Water Saturation Irreducible, Layer, Bot, Top, Saturation, NetPay, Permeability]', ""[('Well', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'NetPay')]""]"
"[-7363.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
