0
"[-7993.84, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-6962.46, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Top', 'Bot')]""]"
"[-7925.32, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Top'), ('Saturation', 'Permeability'), ('Bot', 'NetPay')]""]"
"[-7944.38, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay')]""]"
"[-7849.83, '[Layer, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well, Gross, Top]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Well', 'Top'), ('Gross', 'Porosity')]""]"
"[-7673.51, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Well]', ""[('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Bot')]""]"
"[-6924.27, '[Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top, Well]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Top', 'Bot')]""]"
"[-7881.78, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Well', 'Bot'), ('Top', 'Permeability'), ('Top', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7491.21, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7993.23, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Gross'), ('NetPay', 'Permeability')]""]"
