0
"[-7517.18, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Permeability'), ('Top', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7194.48, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Bot')]""]"
"[-7820.05, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8070.55, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross')]""]"
"[-8030.13, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, NetPay, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8036.67, '[Well, Layer, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Top, Porosity, NetPay]', ""[('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay')]""]"
"[-8004.54, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Permeability')]""]"
"[-8036.66, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-7961.12, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Well', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Saturation', 'Layer')]""]"
"[-7802.55, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible')]""]"
