0
"[-7953.46, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Porosity'), ('Top', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross')]""]"
"[-7930.26, '[Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer, Gross, Well]', ""[('Bot', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Layer', 'Porosity'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-8095.58, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8011.23, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'NetPay')]""]"
"[-8078.5, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Saturation]', ""[('Well', 'NetPay'), ('Well', 'Saturation'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Saturation'), ('Saturation', 'Porosity')]""]"
"[-8061.42, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability')]""]"
"[-8211.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Gross')]""]"
"[-7980.78, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Saturation', 'Porosity')]""]"
"[-8152.85, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-8125.57, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'NetPay')]""]"
