0
"[-7498.22, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Bot'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Bot')]""]"
"[-8058.32, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-7300.05, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8121.56, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Saturation')]""]"
"[-8120.32, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Layer, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Top', 'Gross'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7144.9, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Porosity'), ('Layer', 'Well')]""]"
"[-8090.21, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7802.52, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Well'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-8066.71, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Saturation', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8169.67, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Permeability')]""]"
