0
"[-7547.65, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7902.25, '[Well, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity, Layer]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Porosity', 'Well')]""]"
"[-7686.49, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'Bot')]""]"
"[-7597.9, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8086.06, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Gross'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7348.17, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-7862.55, '[Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability, Saturation]', ""[('Top', 'Bot'), ('Bot', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot'), ('Well', 'Bot'), ('Well', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Well')]""]"
"[-7198.6, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Porosity')]""]"
"[-7989.08, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Gross', 'Permeability'), ('Saturation', 'NetPay'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-6700.71, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Permeability')]""]"
