0
"[-13280.43, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8642.14, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Permeability', 'Gross'), ('NetPay', 'Well')]""]"
"[-32409.18, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-7987.25, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Bot'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-53853.44, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Top, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-56258.78, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Saturation'), ('Well', 'Gross'), ('Top', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross')]""]"
"[-8485.53, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Well', 'Saturation')]""]"
"[-31721.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8055.07, '[Well, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation, Layer, Top]', ""[('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Top', 'Water Saturation Irreducible')]""]"
"[-8167.51, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Saturation, Permeability, Water Saturation Irreducible]', ""[('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
