0
"[-9333.77, '[Well, Layer, Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Porosity, NetPay]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Permeability')]""]"
"[-8377.9, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Gross'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-36115.94, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Top'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-22267.82, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Saturation', 'Bot')]""]"
"[-7859.85, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Saturation'), ('Top', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Porosity')]""]"
"[-134578.21, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'Porosity'), ('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Porosity')]""]"
"[-36230.53, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay')]""]"
"[-13769.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top')]""]"
"[-31007.96, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-7858.85, '[Well, Layer, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, Top, NetPay]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top')]""]"
