0
"[-66245.72, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-13065.41, '[Well, Layer, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Top]', ""[('Well', 'Porosity'), ('Layer', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-9048.46, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-37830.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8662.67, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-129632.71, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity')]""]"
"[-8495.82, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Saturation', 'Gross')]""]"
"[-9042.2, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-8139.81, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top')]""]"
"[-16698.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay')]""]"
