0
"[-157357.65, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Well', 'Top'), ('Well', 'Permeability')]""]"
"[-9478.18, '[Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Well, Permeability]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Permeability', 'NetPay')]""]"
"[-10598.8, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-136155.43, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Porosity', 'Top')]""]"
"[-12360.82, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-421791.01, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Porosity'), ('NetPay', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Top', 'NetPay')]""]"
"[-8420.12, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-25568.86, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-8057.15, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Gross, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay')]""]"
"[-153907.08, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Porosity', 'NetPay')]""]"
