0
"[-129588.33, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Top', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-8248.11, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8604.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-31489.44, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'Porosity')]""]"
"[-9439.04, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Bot')]""]"
"[-16555.52, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Permeability'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Permeability')]""]"
"[-13854.96, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay]', ""[('Well', 'Porosity'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Saturation', 'Permeability'), ('Saturation', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-15802.51, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well]', ""[('Layer', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Well', 'Porosity')]""]"
"[-8289.41, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Permeability')]""]"
"[-12086.08, '[Well, Layer, Top, Bot, Saturation, Porosity, Gross, NetPay, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
