0
"[-12527.3, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Saturation', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-19045.59, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top')]""]"
"[-12327.23, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Saturation'), ('Layer', 'Permeability')]""]"
"[-32628.41, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-8099.62, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Gross', 'Bot'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-237883.95, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Top', 'Bot'), ('Top', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
"[-13431.76, '[Well, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Gross]', ""[('Well', 'Porosity'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Permeability')]""]"
"[-41126.82, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Top', 'NetPay')]""]"
"[-60542.03, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Saturation, Permeability]', ""[('Well', 'NetPay'), ('Well', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Porosity', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability')]""]"
"[-9600.94, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Saturation', 'Gross'), ('Saturation', 'Well')]""]"
