0
"[-7667.21, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Gross, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Gross', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-7224.18, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Gross, Porosity]', ""[('Layer', 'Gross'), ('Top', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-12266.0, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-31658.49, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Well', 'Top')]""]"
"[-8312.46, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8198.32, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Permeability'), ('Layer', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible')]""]"
"[-8363.63, '[Well, Top, Gross, Saturation, Porosity, Water Saturation Irreducible, Layer, Bot, NetPay, Permeability]', ""[('Top', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-8531.1, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Permeability', 'Gross'), ('Top', 'Water Saturation Irreducible')]""]"
"[-66812.61, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Saturation, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8232.66, '[Well, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Layer', 'Permeability')]""]"
