0
"[-8141.5, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Layer', 'Gross')]""]"
"[-129709.05, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-37004.48, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross')]""]"
"[-12103.91, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
"[-12139.86, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Layer', 'Permeability'), ('Layer', 'Saturation'), ('Top', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay'), ('Well', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-8966.09, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Saturation'), ('Well', 'Porosity')]""]"
"[-12520.04, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Bot, NetPay]', ""[('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'NetPay')]""]"
"[-142669.22, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-129399.85, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-155223.74, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'Porosity')]""]"
