0
"[-9289.76, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Saturation'), ('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay')]""]"
"[-36710.52, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Gross', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-133409.0, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Bot'), ('Well', 'NetPay'), ('Layer', 'Saturation'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Bot')]""]"
"[-12711.22, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-12345.74, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Saturation')]""]"
"[-3671525.97, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Bot]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top'), ('Bot', 'Gross')]""]"
"[-12585.02, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Porosity'), ('Layer', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Bot')]""]"
"[-251560.16, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-8165.2, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, NetPay, Saturation]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Porosity')]""]"
"[-9173.29, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
