0
"[-9692.81, '[Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well]', ""[('Layer', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Well', 'NetPay')]""]"
"[-746994.95, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Permeability')]""]"
"[-300137.41, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Well', 'Bot'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Bot'), ('Bot', 'Porosity')]""]"
"[-8174.19, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Bot]', ""[('Top', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-31729.23, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Porosity', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-13930.8, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Well', 'Porosity')]""]"
"[-14337.37, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Layer]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'Permeability')]""]"
"[-12377.99, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Top', 'NetPay')]""]"
"[-7887.31, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Layer', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot')]""]"
"[-10476.72, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay'), ('Bot', 'Porosity')]""]"
