0
"[-129289.32, '[Well, Layer, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, NetPay, Permeability, Top]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Top')]""]"
"[-1472865.88, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Layer', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-12400.59, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Bot')]""]"
"[-31672.22, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-36753.78, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Porosity, Saturation]', ""[('Well', 'NetPay'), ('Layer', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-7982.53, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Layer', 'Saturation'), ('Gross', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Gross')]""]"
"[-8501.86, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Gross'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-9242.54, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-20549.22, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-32488.48, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
