0
"[-619452.61, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-8486.7, '[Well, Layer, Bot, Gross, Permeability, Water Saturation Irreducible, Top, Porosity, NetPay, Saturation]', ""[('Layer', 'Gross'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Permeability'), ('NetPay', 'Top'), ('Saturation', 'Well')]""]"
"[-4529237.85, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Porosity')]""]"
"[-8247.45, '[Well, Layer, Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Saturation]', ""[('Top', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Layer')]""]"
"[-8290.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Saturation'), ('Layer', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay')]""]"
"[-11952.0, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-8671.4, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top')]""]"
"[-156794.0, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Top'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top'), ('Well', 'Saturation')]""]"
"[-32326.6, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'NetPay')]""]"
"[-9957.56, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
