0
"[-8496.51, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Porosity', 'Gross'), ('Top', 'Porosity')]""]"
"[-619699.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('Permeability', 'Porosity')]""]"
"[-65943.39, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Saturation', 'Porosity'), ('Saturation', 'Permeability')]""]"
"[-12454.5, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Saturation'), ('Well', 'Porosity')]""]"
"[-8135.67, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Top')]""]"
"[-8130.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Gross')]""]"
"[-26092.9, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Gross')]""]"
"[-40151.96, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Bot]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'NetPay'), ('Layer', 'Bot')]""]"
"[-9223.28, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-31948.56, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Well', 'Top'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Gross', 'Bot'), ('Gross', 'Top')]""]"
