0
"[-8910.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-158270.1, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Top'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Permeability'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-32783.57, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Well', 'Saturation'), ('Well', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Bot', 'Porosity'), ('Layer', 'Saturation')]""]"
"[-129226.61, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Well', 'Top'), ('Bot', 'Gross'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Layer', 'Permeability'), ('Porosity', 'NetPay')]""]"
"[-8924.59, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Permeability'), ('Layer', 'NetPay'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Top'), ('Well', 'Saturation'), ('Well', 'Porosity')]""]"
"[-13996.94, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Top', 'Gross'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-14059.42, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Gross'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-8224.34, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Saturation'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Porosity'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-7988.5, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-37579.13, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Bot'), ('Well', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
