0
"[-7962.69, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Permeability')]""]"
"[-129738.8, '[Top, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation, Layer, Bot]', ""[('Top', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Porosity'), ('NetPay', 'Bot'), ('Well', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Porosity')]""]"
"[-8494.21, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay]', ""[('Layer', 'Saturation'), ('Layer', 'Water Saturation Irreducible'), ('Layer', 'Gross'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top')]""]"
"[-11908.37, '[Well, Layer, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Gross]', ""[('Well', 'Porosity'), ('Layer', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Saturation', 'Layer')]""]"
"[-31661.94, '[Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay, Layer]', ""[('Top', 'Bot'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Well', 'Bot'), ('Well', 'Saturation'), ('NetPay', 'Porosity'), ('Layer', 'Gross')]""]"
"[-15173.01, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Well, NetPay]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Bot'), ('Well', 'Top'), ('Well', 'Porosity')]""]"
"[-32136.64, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Top'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-41862.53, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'Gross'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Porosity'), ('Bot', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-8640.32, '[Well, Layer, Bot, Saturation, Porosity, Permeability, Gross, NetPay, Top, Water Saturation Irreducible]', ""[('Well', 'Saturation'), ('Well', 'Top'), ('Layer', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-35386.4, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity')]""]"
