0
"[-12331.36, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Bot]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Layer', 'Gross'), ('Top', 'Permeability'), ('Top', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-32334.02, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-11506.57, '[Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-10959.51, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Top', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Saturation')]""]"
"[-8982.57, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Saturation'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-13448.47, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability]', ""[('Top', 'NetPay'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'NetPay'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8327.07, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Layer', 'Gross')]""]"
"[-8452.99, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Gross'), ('Layer', 'Permeability'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay')]""]"
"[-65377.45, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Top'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Well', 'Top')]""]"
"[-14940.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Top'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
