0
"[-11788.04, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'Gross'), ('Well', 'Porosity')]""]"
"[-6582.74, '[Well, Layer, Top, Bot, Gross, Porosity, Permeability, Water Saturation Irreducible, Saturation, NetPay]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-10694.16, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Porosity')]""]"
"[-8169.38, '[Top, Bot, Gross, Saturation, Permeability, Water Saturation Irreducible, Layer, NetPay, Porosity, Well]', ""[('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Gross'), ('Well', 'Saturation')]""]"
"[-300166.52, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Bot, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Top'), ('Layer', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Bot'), ('Permeability', 'Top'), ('Bot', 'NetPay'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-129113.22, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'Bot'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Top', 'Bot')]""]"
"[-8123.02, '[Well, Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Porosity, Bot]', ""[('Well', 'Saturation'), ('Saturation', 'Layer'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Bot', 'Porosity')]""]"
"[-23053.86, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Gross', 'Well')]""]"
"[-9265.47, '[Well, Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Top]', ""[('Layer', 'Saturation'), ('Layer', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Top'), ('Top', 'Permeability')]""]"
"[-8330.09, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Well', 'NetPay'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Permeability')]""]"
