0
"[-35473.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Bot'), ('Well', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability')]""]"
"[-12360.04, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Layer', 'Permeability'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Permeability')]""]"
"[-134063.55, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Top', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'Permeability'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Permeability')]""]"
"[-8857.81, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Layer', 'Saturation'), ('Layer', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Top', 'NetPay'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-8359.22, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Gross', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-7910.04, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Porosity'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('NetPay', 'Bot')]""]"
"[-31563.69, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-19212.52, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Well'), ('Saturation', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-155423.16, '[Well, Top, Bot, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Saturation, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-8998.04, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'NetPay')]""]"
