0
"[-8698.79, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Bot')]""]"
"[-24586.02, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-12026.34, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'NetPay')]""]"
"[-7584.08, '[Layer, Top, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Porosity, Well, Gross]', ""[('Layer', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Well', 'Top'), ('Gross', 'NetPay')]""]"
"[-14523.46, '[Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Well, Porosity]', ""[('Layer', 'Well'), ('Bot', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top'), ('Well', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-8617.58, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Permeability')]""]"
"[-7896.11, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-7360.63, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-9295.84, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Porosity'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Permeability')]""]"
"[-19838.18, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Gross')]""]"
