0
"[-11963.34, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Saturation', 'Gross'), ('Saturation', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-12124.39, '[Well, Layer, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability, Bot]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Porosity'), ('Porosity', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Porosity')]""]"
"[-12307.68, '[Well, Layer, Top, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, Bot, NetPay]', ""[('Well', 'Bot'), ('Layer', 'Gross'), ('Top', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('Bot', 'Porosity'), ('Bot', 'NetPay'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-12437.24, '[Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Well]', ""[('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Layer', 'Water Saturation Irreducible'), ('Well', 'Top')]""]"
"[-8606.49, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer')]""]"
"[-9269.42, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Well', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Top'), ('Layer', 'Gross')]""]"
"[-8521.97, '[Layer, Top, Gross, Saturation, Permeability, Water Saturation Irreducible, NetPay, Well, Porosity, Bot]', ""[('Layer', 'Water Saturation Irreducible'), ('Layer', 'NetPay'), ('Gross', 'Permeability'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Saturation'), ('Porosity', 'Top'), ('Bot', 'Gross'), ('Bot', 'Porosity')]""]"
"[-12098.18, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Porosity, Water Saturation Irreducible]', ""[('Well', 'NetPay'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Top'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-7437.38, '[Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Saturation]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('Saturation', 'Well')]""]"
"[-8933.95, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Gross, Permeability]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Well'), ('Saturation', 'Top'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'NetPay'), ('Permeability', 'Gross')]""]"
