0
"[-31588.6, '[Well, Top, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Porosity, Layer, Bot]', ""[('Well', 'Bot'), ('Top', 'Bot'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Well'), ('Saturation', 'Layer'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Bot', 'Porosity')]""]"
"[-129703.1, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Well'), ('NetPay', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible')]""]"
"[-129792.83, '[Well, Layer, Top, Bot, Gross, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity]', ""[('Well', 'Porosity'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Saturation', 'Layer'), ('Saturation', 'Gross')]""]"
"[-12004.49, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'NetPay')]""]"
"[-7963.4, '[Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, Gross, NetPay, Well]', ""[('Layer', 'Permeability'), ('Bot', 'Porosity'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Well')]""]"
"[-8519.7, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Porosity'), ('Bot', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-8314.81, '[Well, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation, Layer]', ""[('Top', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Well'), ('Saturation', 'Gross'), ('Saturation', 'Layer')]""]"
"[-156803.71, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Saturation'), ('Layer', 'Top'), ('Layer', 'Saturation'), ('Top', 'Permeability'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Saturation', 'Gross')]""]"
"[-368883.99, '[Well, Layer, Top, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Bot]', ""[('Layer', 'Well'), ('Layer', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Bot', 'Porosity'), ('Bot', 'NetPay')]""]"
"[-10410.7, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Top', 'Gross'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Well', 'Top')]""]"
