0
"[-769.79, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Bot', 'Permeability')]""]"
"[-749.72, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Layer, Permeability]', ""[('Well', 'Gross'), ('Well', 'Permeability'), ('Top', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Well')]""]"
"[-599.16, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-691.96, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-768.04, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Well', 'Gross'), ('Well', 'Permeability')]""]"
"[-714.39, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-720.65, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Top'), ('NetPay', 'Top')]""]"
"[-701.18, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-788.36, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Well')]""]"
"[-727.11, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Top', 'Porosity'), ('Gross', 'Well'), ('Gross', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Bot')]""]"
