0
"[-682.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'NetPay'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Top')]""]"
"[-662.1, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-753.45, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Bot'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Bot'), ('Porosity', 'Gross')]""]"
"[-790.84, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Layer', 'Well')]""]"
"[-662.79, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-765.54, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Top', 'Gross')]""]"
"[-760.57, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Permeability')]""]"
"[-727.85, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Permeability', 'NetPay')]""]"
"[-691.92, '[Well, Top, Bot, Gross, Saturation, Water Saturation Irreducible, Porosity, NetPay, Permeability, Layer]', ""[('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Water Saturation Irreducible', 'Porosity'), ('Porosity', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'NetPay')]""]"
"[-696.09, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well')]""]"
