0
"[-723.63, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Gross'), ('Layer', 'Permeability'), ('Top', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Well', 'Bot'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible')]""]"
"[-792.86, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Top', 'Permeability'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Porosity')]""]"
"[-786.97, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Gross'), ('Top', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Top')]""]"
"[-699.23, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Bot'), ('Well', 'Saturation'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Bot'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well')]""]"
"[-776.56, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Well', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well')]""]"
"[-746.18, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Well')]""]"
"[-693.92, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Layer', 'Well')]""]"
"[-804.71, '[Well, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer, Top]', ""[('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Layer', 'NetPay')]""]"
"[-777.13, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well]', ""[('Layer', 'Well'), ('Gross', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Top', 'Permeability'), ('Well', 'Water Saturation Irreducible')]""]"
"[-782.14, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Bot', 'Top'), ('Bot', 'Gross')]""]"
