0
"[-761.08, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Water Saturation Irreducible')]""]"
"[-756.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Saturation'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Permeability'), ('Top', 'Gross')]""]"
"[-743.81, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-765.93, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Gross', 'Bot'), ('Gross', 'Top'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Top', 'Well')]""]"
"[-761.11, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well')]""]"
"[-748.35, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Porosity', 'NetPay')]""]"
"[-798.19, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Bot'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-712.56, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well')]""]"
"[-778.39, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'NetPay'), ('Layer', 'Porosity'), ('Top', 'NetPay'), ('Top', 'Porosity'), ('Bot', 'NetPay'), ('Bot', 'Porosity'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Saturation', 'Layer')]""]"
"[-737.5, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
