0
"[-811.75, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Bot'), ('Layer', 'NetPay'), ('Top', 'NetPay'), ('Top', 'Permeability'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'NetPay')]""]"
"[-753.61, '[Layer, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Well, Bot]', ""[('Layer', 'Well'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well')]""]"
"[-664.78, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'Bot'), ('Well', 'Top'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible')]""]"
"[-747.17, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Well'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Porosity')]""]"
"[-640.37, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Permeability')]""]"
"[-628.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-739.9, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-696.95, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-736.62, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Bot', 'NetPay')]""]"
"[-767.94, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Well', 'Top'), ('Well', 'Water Saturation Irreducible')]""]"
