0
"[-807.76, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Saturation'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-767.01, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Permeability'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Porosity', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay')]""]"
"[-701.14, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'NetPay'), ('Top', 'Bot'), ('Top', 'Permeability'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Layer', 'Bot')]""]"
"[-792.46, '[Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Layer, Top]', ""[('Bot', 'Permeability'), ('Gross', 'Porosity'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Saturation'), ('Top', 'Gross')]""]"
"[-776.22, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Saturation', 'Gross'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-781.73, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-755.22, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'Bot')]""]"
"[-759.73, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Saturation', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-785.74, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Gross')]""]"
"[-759.92, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Top]', ""[('Layer', 'Well'), ('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Top'), ('Saturation', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('Water Saturation Irreducible', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Top', 'Well')]""]"
