0
"[-722.62, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-709.14, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Water Saturation Irreducible, Permeability, Saturation]', ""[('Well', 'Porosity'), ('Layer', 'Bot'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Porosity'), ('Saturation', 'Water Saturation Irreducible')]""]"
"[-752.58, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Gross', 'Top'), ('Gross', 'Bot')]""]"
"[-739.72, '[Well, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross, Top, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Well', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'NetPay'), ('Layer', 'Well')]""]"
"[-722.89, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Porosity', 'Top')]""]"
"[-651.07, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Layer', 'Well')]""]"
"[-723.32, '[Well, Layer, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Permeability, Top, Porosity]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Porosity', 'Bot')]""]"
"[-697.67, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Permeability', 'NetPay')]""]"
"[-770.05, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('NetPay', 'Permeability'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Top', 'NetPay')]""]"
"[-730.98, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Top'), ('Gross', 'Bot'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Porosity')]""]"
