0
"[-746.33, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Well', 'Water Saturation Irreducible')]""]"
"[-709.85, '[Well, Layer, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, Top, NetPay]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Top', 'Gross')]""]"
"[-713.17, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-738.92, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-789.0, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Gross'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-790.83, '[Well, Layer, Top, Bot, NetPay, Permeability, Water Saturation Irreducible, Saturation, Porosity, Gross]', ""[('Top', 'NetPay'), ('Bot', 'Permeability'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay'), ('Saturation', 'Layer'), ('Porosity', 'Top')]""]"
"[-798.96, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Well'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Permeability', 'Well')]""]"
"[-803.04, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Well', 'NetPay'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Bot', 'Permeability'), ('Layer', 'Saturation'), ('Layer', 'Permeability')]""]"
"[-747.71, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Bot]', ""[('Layer', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Gross', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-711.4, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'Top'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Layer', 'Well')]""]"
