0
"[-759.16, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Layer', 'Saturation'), ('Top', 'Bot'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Saturation')]""]"
"[-770.55, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Gross')]""]"
"[-760.3, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-783.39, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Well', 'NetPay')]""]"
"[-754.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Top, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Top', 'Well'), ('Top', 'Gross')]""]"
"[-744.9, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('Saturation', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well')]""]"
"[-796.53, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Top'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Bot', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-791.09, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('NetPay', 'Water Saturation Irreducible')]""]"
"[-811.24, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Permeability'), ('Top', 'Porosity'), ('Gross', 'Top'), ('Saturation', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-783.15, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible')]""]"
