0
"[-737.61, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Well, Permeability]', ""[('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-740.89, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Layer', 'Saturation'), ('Bot', 'Porosity'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-757.32, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible')]""]"
"[-763.14, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Gross', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-724.65, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Gross]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Gross', 'Well'), ('Gross', 'Permeability')]""]"
"[-675.89, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Porosity')]""]"
"[-792.9, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Top', 'Well'), ('Gross', 'Permeability'), ('Gross', 'Bot'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-759.43, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-750.34, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'Top'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('Porosity', 'Top'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-732.6, '[Well, Layer, Top, Bot, Saturation, NetPay, Water Saturation Irreducible, Gross, Permeability, Porosity]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Permeability'), ('NetPay', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Gross', 'Top'), ('Permeability', 'Porosity')]""]"
