0
"[-769.48, '[Well, Layer, Top, Bot, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Porosity', 'Gross'), ('Gross', 'Permeability')]""]"
"[-727.96, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Permeability'), ('Layer', 'Bot'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Gross', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-777.19, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'NetPay'), ('Top', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Saturation', 'NetPay'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Well', 'Gross'), ('Well', 'Porosity')]""]"
"[-766.02, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Top', 'Gross'), ('Top', 'Permeability'), ('Gross', 'Bot'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Layer', 'Well'), ('Layer', 'Permeability')]""]"
"[-655.02, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Layer', 'Well'), ('Gross', 'Permeability'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Top', 'Bot'), ('Top', 'Gross')]""]"
"[-707.79, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Top', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Bot'), ('Saturation', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Layer', 'Well')]""]"
"[-595.67, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'NetPay'), ('Gross', 'NetPay')]""]"
"[-694.35, '[Well, Layer, Top, Saturation, NetPay, Porosity, Permeability, Gross, Bot, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Saturation', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Permeability', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-730.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'Top')]""]"
"[-657.98, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Bot'), ('Porosity', 'Top'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Layer', 'Well')]""]"
