0
"[-757.63, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'Gross')]""]"
"[-782.75, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Gross', 'Porosity'), ('Saturation', 'Layer'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Top'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross')]""]"
"[-734.33, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-768.48, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Layer', 'Well'), ('Top', 'Gross'), ('Top', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Porosity', 'Well'), ('Porosity', 'NetPay')]""]"
"[-737.69, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Porosity', 'Gross'), ('Permeability', 'Bot'), ('Gross', 'Permeability')]""]"
"[-732.96, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Permeability'), ('Permeability', 'Top'), ('Porosity', 'Permeability')]""]"
"[-772.31, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-771.06, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Saturation', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-747.46, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Bot', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Well'), ('NetPay', 'Top'), ('Permeability', 'Well'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-767.95, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability, Well]', ""[('Layer', 'Bot'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Permeability', 'Bot'), ('Permeability', 'NetPay')]""]"
