0
"[-752.74, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Permeability'), ('Bot', 'Gross'), ('Saturation', 'Bot'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Top', 'NetPay')]""]"
"[-794.83, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-734.62, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Permeability'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Gross')]""]"
"[-795.3, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Gross'), ('Layer', 'NetPay')]""]"
"[-790.57, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-755.34, '[Well, Layer, Top, Bot, Gross, NetPay, Porosity, Permeability, Water Saturation Irreducible, Saturation]', ""[('Layer', 'Permeability'), ('Top', 'Bot'), ('Gross', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Gross'), ('Saturation', 'Layer'), ('Saturation', 'Porosity')]""]"
"[-783.1, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Gross', 'Porosity'), ('Gross', 'Permeability')]""]"
"[-728.01, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Top', 'Gross'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Permeability'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-642.47, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-804.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Saturation', 'Porosity'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Well'), ('Permeability', 'Water Saturation Irreducible')]""]"
