0
"[-749.67, '[Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well, Top]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'Well'), ('Well', 'Top')]""]"
"[-776.51, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Permeability'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Gross')]""]"
"[-762.88, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Permeability'), ('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-764.27, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Water Saturation Irreducible, Permeability, NetPay]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Gross', 'Permeability'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Bot')]""]"
"[-746.78, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'NetPay')]""]"
"[-783.72, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Permeability'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Well')]""]"
"[-735.76, '[Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Layer, Well]', ""[('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Top'), ('NetPay', 'Porosity'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Layer', 'NetPay'), ('Well', 'Porosity')]""]"
"[-728.42, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Layer', 'Well'), ('Layer', 'NetPay'), ('Layer', 'Permeability'), ('Top', 'Gross'), ('Top', 'NetPay'), ('Bot', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Bot'), ('Permeability', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible')]""]"
"[-722.3, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Saturation', 'Top'), ('Porosity', 'Top'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Well', 'Top')]""]"
"[-723.89, '[Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Well]', ""[('Layer', 'Saturation'), ('Layer', 'Well'), ('Gross', 'Bot'), ('Gross', 'Well'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Well', 'Top'), ('Well', 'Porosity')]""]"
