0
"[-653.8, '[Layer, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross, Well, Top]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('Porosity', 'Permeability'), ('Porosity', 'Well'), ('Gross', 'NetPay'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Well', 'Top')]""]"
"[-734.76, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Saturation'), ('Well', 'Porosity'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Bot', 'Gross'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-709.43, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Top', 'Gross')]""]"
"[-723.71, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('NetPay', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Top', 'Bot')]""]"
"[-659.27, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Porosity', 'Permeability')]""]"
"[-743.23, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Porosity')]""]"
"[-665.57, '[Well, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top, Bot, Layer]', ""[('Gross', 'NetPay'), ('Gross', 'Top'), ('Saturation', 'Layer'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Layer', 'Well')]""]"
"[-695.48, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-747.57, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Saturation'), ('Layer', 'Well'), ('Layer', 'Permeability'), ('Top', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Permeability', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'NetPay')]""]"
"[-765.89, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Saturation', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'NetPay')]""]"
