0
"[-794.14, '[Top, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Bot, Well, Layer, Permeability]', ""[('Top', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Permeability'), ('Saturation', 'Bot'), ('Saturation', 'Well'), ('Porosity', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Well', 'NetPay'), ('Layer', 'Well'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Water Saturation Irreducible')]""]"
"[-705.63, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Gross', 'Permeability'), ('Gross', 'Top'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Bot'), ('Water Saturation Irreducible', 'Permeability'), ('Top', 'Bot')]""]"
"[-748.16, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Gross'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'NetPay')]""]"
"[-772.83, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Top, Permeability]', ""[('Layer', 'Well'), ('Gross', 'Well'), ('Saturation', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Top', 'Gross'), ('Permeability', 'Bot'), ('Permeability', 'Top')]""]"
"[-780.47, '[Well, Layer, Top, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Bot, Porosity]', ""[('Well', 'Top'), ('Layer', 'NetPay'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('NetPay', 'Porosity'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Porosity', 'Top')]""]"
"[-684.35, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Layer', 'Saturation'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross')]""]"
"[-762.36, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'NetPay'), ('Bot', 'NetPay'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-740.75, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Top', 'Well'), ('Bot', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Water Saturation Irreducible'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Well', 'Water Saturation Irreducible')]""]"
"[-756.93, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Porosity')]""]"
"[-763.91, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Top', 'Well'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well'), ('Gross', 'Bot'), ('Gross', 'Permeability')]""]"
