0
"[-640.12, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Top', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Porosity', 'Well')]""]"
"[-706.14, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'Porosity'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Water Saturation Irreducible', 'Well'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-605.05, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Porosity', 'Top'), ('Porosity', 'Permeability')]""]"
"[-718.67, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Bot', 'NetPay')]""]"
"[-759.14, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Water Saturation Irreducible, Porosity, Permeability]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('NetPay', 'Top'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Well'), ('Porosity', 'Permeability')]""]"
"[-737.31, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Permeability')]""]"
"[-760.17, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Permeability'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Top'), ('Top', 'Gross')]""]"
"[-783.7, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top')]""]"
"[-745.06, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'NetPay'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Permeability', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Well')]""]"
"[-775.94, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Permeability'), ('Top', 'Gross'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('Porosity', 'NetPay'), ('Permeability', 'NetPay')]""]"
