0
"[-626.57, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Top', 'Bot'), ('Gross', 'NetPay'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Top'), ('Permeability', 'NetPay')]""]"
"[-685.37, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Layer', 'Well')]""]"
"[-715.79, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Top'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Gross'), ('Gross', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Saturation', 'Permeability'), ('NetPay', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Top'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-692.19, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Gross', 'Porosity'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Water Saturation Irreducible')]""]"
"[-689.99, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'Bot'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Porosity', 'Gross')]""]"
"[-813.04, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Top', 'Water Saturation Irreducible'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('Gross', 'Bot'), ('Permeability', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'Permeability')]""]"
"[-593.23, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-705.4, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Gross', 'Bot'), ('NetPay', 'Top'), ('Porosity', 'Permeability')]""]"
"[-687.48, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'NetPay'), ('Layer', 'Well'), ('Top', 'Bot'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'NetPay'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Bot'), ('Porosity', 'Permeability'), ('Permeability', 'Gross')]""]"
"[-760.01, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Porosity'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Porosity'), ('Layer', 'Saturation')]""]"
