0
"[-783.54, '[Well, Layer, Top, Bot, Gross, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Porosity', 'Bot'), ('Porosity', 'Gross'), ('Permeability', 'Top'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay'), ('NetPay', 'Well'), ('NetPay', 'Permeability')]""]"
"[-749.58, '[Well, Layer, Top, Bot, Saturation, Porosity, Permeability, Water Saturation Irreducible, NetPay, Gross]', ""[('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Permeability', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Top'), ('Gross', 'Permeability')]""]"
"[-745.93, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('NetPay', 'Bot'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top'), ('Well', 'Top'), ('Well', 'Water Saturation Irreducible')]""]"
"[-642.09, '[Well, Layer, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Top]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Porosity'), ('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('Porosity', 'Permeability'), ('Top', 'Water Saturation Irreducible')]""]"
"[-679.55, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Bot'), ('Layer', 'Bot'), ('Layer', 'NetPay'), ('Top', 'Bot'), ('Bot', 'Gross'), ('Gross', 'NetPay'), ('NetPay', 'Porosity'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-781.99, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Porosity'), ('Top', 'Gross'), ('Top', 'Porosity'), ('Bot', 'Permeability'), ('Permeability', 'Top'), ('Permeability', 'NetPay'), ('Permeability', 'Porosity'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Porosity')]""]"
"[-708.48, '[Well, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Layer]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'NetPay'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Bot'), ('Layer', 'Well')]""]"
"[-800.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Saturation'), ('Bot', 'NetPay'), ('Gross', 'Well'), ('Saturation', 'Gross'), ('NetPay', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'NetPay'), ('Top', 'Gross'), ('Top', 'Permeability')]""]"
"[-759.92, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Permeability', 'Well'), ('Permeability', 'Gross'), ('Permeability', 'NetPay')]""]"
"[-766.68, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Top', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Well'), ('Gross', 'Top'), ('Saturation', 'Gross'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Well')]""]"
