0
"[-774.93, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Permeability'), ('Well', 'Water Saturation Irreducible'), ('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Permeability'), ('Permeability', 'Gross'), ('Gross', 'Top')]""]"
"[-696.97, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Well', 'Gross'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Layer', 'Saturation'), ('Top', 'NetPay'), ('Gross', 'NetPay'), ('Saturation', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Bot', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
"[-739.64, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Well'), ('Layer', 'Permeability'), ('Top', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('Porosity', 'Permeability'), ('Porosity', 'Water Saturation Irreducible'), ('Permeability', 'Gross'), ('Gross', 'Top')]""]"
"[-807.97, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity, Layer]', ""[('Well', 'Water Saturation Irreducible'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Permeability'), ('Saturation', 'Layer'), ('NetPay', 'Water Saturation Irreducible'), ('Permeability', 'Bot'), ('Permeability', 'NetPay'), ('Porosity', 'Gross'), ('Layer', 'Water Saturation Irreducible')]""]"
"[-762.86, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Porosity'), ('Saturation', 'Top'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Top')]""]"
"[-774.71, '[Well, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot, Layer]', ""[('Well', 'Gross'), ('Well', 'Saturation'), ('Top', 'Well'), ('Top', 'Gross'), ('Saturation', 'Layer'), ('NetPay', 'Well'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-676.62, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Top'), ('Well', 'Gross'), ('Well', 'Porosity'), ('Well', 'Water Saturation Irreducible'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'NetPay'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability')]""]"
"[-717.9, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Top'), ('Layer', 'Well'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Bot'), ('Gross', 'Permeability'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-782.34, '[Well, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Layer, Porosity]', ""[('Bot', 'Water Saturation Irreducible'), ('Gross', 'Top'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('NetPay', 'Permeability'), ('Permeability', 'Well'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Permeability'), ('Layer', 'Well'), ('Porosity', 'Gross'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability')]""]"
"[-787.64, '[Well, Layer, Top, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Bot]', ""[('Top', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Porosity'), ('Gross', 'Bot'), ('Saturation', 'Layer'), ('Saturation', 'NetPay'), ('Saturation', 'Water Saturation Irreducible'), ('Permeability', 'Well'), ('Bot', 'NetPay'), ('Bot', 'Water Saturation Irreducible')]""]"
