0
"[-731.56, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Layer', 'Permeability'), ('Bot', 'Gross'), ('Gross', 'Well'), ('NetPay', 'Bot'), ('NetPay', 'Porosity'), ('NetPay', 'Top'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-722.47, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Permeability'), ('Gross', 'Bot'), ('Gross', 'Water Saturation Irreducible'), ('NetPay', 'Water Saturation Irreducible'), ('Porosity', 'Well'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Porosity'), ('Water Saturation Irreducible', 'Well'), ('Well', 'Saturation')]""]"
"[-653.62, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Bot', 'Water Saturation Irreducible'), ('Gross', 'Porosity'), ('Saturation', 'Porosity'), ('Porosity', 'Permeability'), ('Permeability', 'Bot'), ('Water Saturation Irreducible', 'NetPay')]""]"
"[-708.97, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('NetPay', 'Top'), ('Porosity', 'NetPay'), ('Permeability', 'Gross'), ('Permeability', 'Water Saturation Irreducible'), ('Water Saturation Irreducible', 'Top')]""]"
"[-696.78, '[Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Well]', ""[('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('NetPay', 'Permeability'), ('Porosity', 'Gross'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'NetPay'), ('Well', 'Top'), ('Well', 'Gross')]""]"
"[-707.59, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Permeability, Water Saturation Irreducible, Porosity]', ""[('Well', 'Porosity'), ('Layer', 'Well'), ('Bot', 'Gross'), ('Gross', 'Top'), ('NetPay', 'Bot'), ('Permeability', 'NetPay'), ('Water Saturation Irreducible', 'Permeability'), ('Water Saturation Irreducible', 'Porosity'), ('Porosity', 'Permeability')]""]"
"[-710.45, '[Well, Layer, Bot, Gross, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Top]', ""[('Layer', 'Well'), ('Gross', 'Porosity'), ('NetPay', 'Permeability'), ('Porosity', 'Bot'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Top'), ('Water Saturation Irreducible', 'Well'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Top')]""]"
"[-731.42, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Layer', 'Saturation'), ('Layer', 'Permeability'), ('Bot', 'Water Saturation Irreducible'), ('Bot', 'Gross'), ('NetPay', 'Well'), ('NetPay', 'Top'), ('NetPay', 'Bot'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Gross', 'Well'), ('Gross', 'Top')]""]"
"[-689.03, '[Well, Layer, Top, Bot, Gross, Saturation, NetPay, Porosity, Water Saturation Irreducible, Permeability]', ""[('Well', 'Gross'), ('Layer', 'Well'), ('Bot', 'Top'), ('Gross', 'Top'), ('Gross', 'Permeability'), ('Porosity', 'Permeability'), ('Water Saturation Irreducible', 'Gross'), ('Water Saturation Irreducible', 'Permeability'), ('Permeability', 'NetPay')]""]"
"[-706.25, '[Well, Layer, Top, Bot, Saturation, NetPay, Porosity, Permeability, Water Saturation Irreducible, Gross]', ""[('Well', 'Bot'), ('Layer', 'Well'), ('Top', 'NetPay'), ('Bot', 'Gross'), ('Porosity', 'Well'), ('Porosity', 'NetPay'), ('Porosity', 'Permeability'), ('Permeability', 'Well'), ('Gross', 'Top'), ('Gross', 'Water Saturation Irreducible')]""]"
